Country,Land area (sq. km),Forest area (% of land area),Urban Population,% of urban population in largest city,% of land area that is agricultural (2021),Average annual precipitations (2020) millimeters,% of total employment that is agricultural (2020),Forest Area(sq km. thousands),Number threatened Mammals,Number threatened Birds,% of total land area that is protected,% of territorial waters that are protected,Energy Production Total (million metric tons of oil equivilent),% of total energy use that is fossil fules,% of total energy use that is alternative and nuclear
Peru,"1,280,000.00",56.37,"26,799.80",41.2,20,"1,738",33.7,722,53,119,22.5,8,27.3,79.6,7.2
Philippines,"298,170.00",24.23,"55,441.70",26,43,"2,348",24.8,72,38,93,15.9,1.7,25.9,62.4,2.9
Poland,"306,100.00",31.02,"22,142.40",8.1,47,600,9.6,95,4,11,39.6,22.6,67.6,90.3,1.1
Portugal,"91,605.60",36.15,"7,014.20",42.6,43,854,5.4,33,13,15,22.9,16.9,5.1,77,8
Puerto Rico,"8,870.00",56.01,"3,014.30",81,19,"2,054",1.3,5,2,11,7.4,1.8,..,..,..
Qatar,"11,490.00",0,"2,676.70",29.1,6,74,1.4,0,4,9,15.8,2.3,219.9,100,0
Romania,"230,080.00",30.12,"10,378.50",17.2,57,637,20.5,69,9,17,24.5,23.1,26.4,72.5,14.5
Russian Federation,"16,376,870.00",49.78,"108,359.40",11.7,13,460,6,"8,153",34,57,11.5,2.2,"1,305.70",92.1,8.2
Rwanda,"24,670.00",11.23,"2,441.40",49.5,81,"1,212",50.1,3,24,20,9.1,..,..,..,..
Samoa,"2,780.00",57.98,39.2,..,18,"2,880",20.9,2,2,6,8.2,0.1,..,..,..
San Marino,60,16.67,32.9,..,38,..,..,0,0,0,..,..,..,..,..
Sao Tome and Principe,960,53.42,172.3,..,44,"3,200",17.8,1,4,12,29.3,0,..,..,..
Saudi Arabia,"2,149,690.00",0.45,"30,848.80",24.4,81,59,3.2,10,11,18,4.8,2.5,622.4,99.9,0
Senegal,"192,530.00",41.7,"8,500.00",39.1,49,686,23,80,19,19,26.4,1.9,1.9,53.9,0.6
Serbia,"84,090.00",32.38,"3,790.30",37.1,41,..,14.6,27,6,13,8.1,..,9.4,83.9,5.7
Seychelles,460,73.26,70,..,3,"2,330",..,0,6,13,61.5,32.8,..,..,..
Sierra Leone,"72,180.00",34.85,"3,772.00",33.7,55,"2,526",44.6,25,22,16,12.7,1.6,..,..,..
Singapore,718,21.43,"5,637.00",100,1,"2,497",0.1,0,14,22,5.6,0,0.6,90.6,0.2
Sint Maarten (Dutch part),34,10.88,40.9,..,..,..,..,0,2,1,0.7,8.7,..,..,..
Slovak Republic,"48,080.00",40.06,"2,928.20",15,39,824,2.6,19,4,12,37.6,..,6.4,64.1,27.5
Slovenia,"20,136.40",61.37,"1,177.50",..,30,"1,162",4.1,12,6,10,40.4,2.3,3.4,61.1,28.2
Solomon Islands,"27,990.00",90.11,185.3,..,4,"3,028",38.1,25,19,24,2,0.1,..,..,..
Somalia,"627,340.00",9.41,"8,327.80",30,70,282,26.7,59,16,21,0,0,..,..,..
South Africa,"1,213,090.00",14.03,"40,928.50",14.8,79,495,21.4,170,30,54,9.3,15.5,168.3,86.8,2.7
South Sudan,"631,930.00",11.33,"2,275.00",19.3,45,900,61,72,14,21,15.5,..,8.1,72.2,0
Spain,"499,733.24",37.17,"38,845.70",17.3,52,636,4,186,17,19,28.1,12.8,34.1,73,20
Sri Lanka,"61,860.00",34.11,"4,220.20",14.8,45,"1,712",27.1,21,30,16,29.9,0.1,5.3,50.5,3.4
St. Kitts and Nevis,260,42.31,14.8,..,23,"1,427",..,0,2,3,22.9,4,..,..,..
St. Lucia,610,34.05,34.3,..,16,"2,301",7.6,0,2,7,18.7,0.2,..,..,..
St. Martin (French part),50,24.8,..,..,..,..,..,0,2,1,12.8,96.4,..,..,..
St. Vincent and the Grenadines,390,73.18,56,..,18,"1,583",10.2,0,2,4,22.4,0.2,..,..,..
Sudan,"1,868,000.00",9.74,"16,854.10",36.6,60,250,41.1,182,16,26,2.3,16,16.3,31.7,4.4
Suriname,"156,000.00",97.33,409.8,..,1,"2,331",7.8,152,9,9,14.5,1.5,1,76.3,15.2
Sweden,"407,283.54",68.7,"9,280.10",18.1,7,624,1.7,280,1,11,15.4,15.8,37.7,25.1,43.2
Switzerland,"39,509.63",32.21,"6,502.10",21.8,38,"1,537",2.5,13,3,9,12.1,..,12.2,50.2,39.9
Syrian Arab Republic,"183,630.00",2.84,"12,560.30",19.9,76,252,16.1,5,14,17,0.7,0.2,5.6,97.8,1.4
Tajikistan,"138,790.00",3.06,"2,783.60",34.6,35,691,44.8,4,7,15,22.3,..,1.8,46,37.5
Tanzania,"885,800.00",51.11,"24,025.90",30.8,45,"1,071",65.8,453,41,49,38.4,3,22.2,14.4,0.7
Thailand,"510,890.00",38.83,"37,919.80",28.7,46,"1,622",31.4,198,59,62,18.5,4.4,78.7,79.8,1.1
Timor-Leste,"14,870.00",61.85,430.2,..,23,"1,500",42.5,9,5,6,16,1.4,..,..,..
Togo,"54,390.00",22.18,"3,886.40",49.5,70,"1,168",31.8,12,13,13,28,0.2,2.6,17.8,2.4
Tonga,720,12.43,24.7,..,49,..,28.8,0,2,5,12.6,0.1,..,..,..
Trinidad and Tobago,"5,130.00",44.4,816.7,66.7,11,"2,200",3.1,2,2,5,30.6,0,39.7,99.9,0
Tunisia,"155,360.00",4.53,"8,675.70",28.1,62,207,14.5,7,14,11,7.9,1,6.7,88.9,0.8
Turkiye,"769,630.00",29.07,"65,453.20",23.9,49,593,17.6,224,19,20,7,1.8,32.2,86.8,6.7
Turkmenistan,"469,930.00",8.78,"3,440.10",25.7,72,161,23.4,41,10,19,3.2,3,78,..,0
Turks and Caicos Islands,950,11.07,43,..,1,..,..,0,2,4,44.4,0.1,..,..,..
Tuvalu,30,33.33,7.4,..,60,..,..,0,2,1,13.2,0,..,..,..
Uganda,"200,520.00",11.45,"12,360.00",29.5,72,"1,180",67.9,23,31,30,16.1,..,..,..,..
Ukraine,"579,400.00",16.73,"26,569.20",11.3,71,565,15.3,97,11,17,13,9.2,76.9,75.3,22.5
United Arab Emirates,"71,020.00",4.47,"8,265.00",35.9,6,78,1.8,3,8,13,19.4,11.5,200,86.1,0.1
United Kingdom,"241,930.00",13.22,"57,214.20",16.7,71,"1,220",1,32,5,11,27.8,44.1,117.7,80.4,13.1
United States,"9,147,420.00",33.87,"276,895.20",6.8,44,715,1.7,"3,098",40,91,13,19,"2,022.80",82.4,11.9
Uruguay,"175,020.00",11.72,"3,275.20",54,80,"1,300",8,21,10,22,3.7,0.8,2.6,46.3,14.8
Uzbekistan,"440,653.00",8.43,"17,990.20",14.3,58,206,26.9,37,10,19,5.8,..,55.8,97.7,1.9
Vanuatu,"12,190.00",36.28,84.4,..,15,"2,000",44.7,4,8,8,4.2,0,..,..,..
"Venezuela, RB","882,050.00",52.35,"25,012.50",11.8,24,"2,044",11.5,462,35,52,56.9,4.4,185.7,88.4,8.2
Viet Nam,"313,429.00",46.96,"38,063.10",23.8,39,"1,821",32.6,147,56,52,7.6,0.6,71.2,69.8,6.9
Virgin Islands (U.S.),350,57.31,101.3,..,9,..,1.4,0,1,3,14.4,0.9,..,..,..
West Bank and Gaza,"6,025.00",1.68,"3,898.30",19.4,65,402,6.4,0,4,15,8.4,..,..,..,..
"Yemen, Rep.","527,970.00",1.04,"13,205.00",24.1,44,167,30.1,5,11,16,0.8,0.5,16.1,98.5,0
Zambia,"743,390.00",60.03,"9,160.30",33.2,32,"1,020",59.1,446,13,20,41.3,..,9.1,10.6,9.7
Zimbabwe,"386,850.00",44.97,"5,287.00",29.5,42,657,58.8,174,10,19,27.2,..,11.5,29.1,3.3
